year_month,total_patients_served,total_encounters,inpatient_encounters,emergency_encounters,average_length_of_stay_minutes,total_claim_cost,total_payer_coverage,total_patient_responsibility,readmission_count_30_day,readmission_rate_30_day
1943-09,3,3,0,0,48.544444444444444,3328.75,3078.75,250.00,0,
1947-12,1,1,0,0,15.0,85.55,0.00,85.55,0,
1948-01,1,1,0,0,15.0,85.55,0.00,85.55,0,
1950-01,1,1,0,0,15.0,85.55,0.00,85.55,0,
1951-05,1,1,1,0,1440.0,3817.64,3767.64,50.00,0,0E-20
1952-08,1,1,0,0,15.0,3611.37,3561.37,50.00,0,
1953-10,1,1,0,0,72.95,942.01,892.01,50.00,0,
1960-01,1,1,0,0,15.0,1005.38,955.38,50.00,0,
1960-03,1,2,0,0,15.0,171.10,0.00,171.10,0,
1960-09,1,1,0,0,22.183333333333334,704.20,0.00,704.20,0,
1961-06,1,1,1,0,1440.0,3817.64,3767.64,50.00,0,0E-20
1961-09,1,1,0,0,44.0,704.20,0.00,704.20,0,
1962-10,1,1,0,0,43.3,778.78,628.78,150.00,0,
1963-01,2,2,0,0,42.475,1408.40,0.00,1408.40,0,
1964-01,1,1,0,0,52.266666666666666,849.22,0.00,849.22,0,
1964-08,1,1,0,0,15.0,85.55,35.55,50.00,0,
1964-09,1,1,0,0,15.0,347.38,0.00,347.38,0,
1965-02,4,4,0,0,49.44583333333333,3112.20,0.00,3112.20,0,
1965-07,3,3,0,0,51.28333333333333,3288.40,2838.40,450.00,0,
1965-08,1,1,0,0,15.0,92.93,42.93,50.00,0,
1966-03,1,1,0,0,55.11666666666667,1108.71,0.00,1108.71,0,
1967-02,1,1,0,0,33.96666666666667,1075.86,0.00,1075.86,0,
1967-07,1,2,0,0,15.0,171.10,71.10,100.00,0,
1967-08,1,1,0,0,43.28333333333333,1339.09,1189.09,150.00,0,
1968-08,1,1,0,0,39.016666666666666,849.22,699.22,150.00,0,
1969-03,2,2,0,0,48.93333333333333,1557.56,0.00,1557.56,0,
1969-08,1,1,0,0,47.15,860.16,710.16,150.00,0,
1971-08,1,2,0,0,15.0,171.10,136.88,34.22,0,
1971-09,1,1,0,0,54.65,778.78,664.33,114.45,0,
1972-03,2,2,0,1,50.20833333333333,1713.18,0.00,1713.18,0,0E-20
1972-05,2,2,0,0,39.90833333333333,1104.10,0.00,1104.10,0,
1973-08,1,1,0,0,15.0,783.90,633.90,150.00,0,
1973-10,1,1,0,0,15.0,516.95,0.00,516.95,0,
1975-03,1,1,0,0,35.0,994.48,0.00,994.48,0,
1975-05,1,1,0,0,15.0,516.95,413.56,103.39,0,
1976-03,1,1,0,1,95.13333333333334,6079.78,0.00,6079.78,0,0E-20
1976-06,1,2,0,0,37.541666666666664,840.39,0.00,840.39,0,
1976-09,1,1,0,0,55.96666666666667,1161.22,1098.02,63.20,0,
1976-11,1,1,0,0,41.06666666666667,704.20,0.00,704.20,0,
1978-03,1,1,0,0,32.46666666666667,994.48,615.67,378.81,0,
1978-04,1,2,0,0,121.86666666666666,3190.90,2552.72,638.18,0,
1978-09,1,1,0,0,34.86666666666667,1567.00,1417.00,150.00,0,
1978-10,1,1,0,0,41.96666666666667,1865.32,1715.32,150.00,0,
1978-11,1,1,0,0,15.0,85.55,35.55,50.00,0,
1979-04,1,1,0,0,36.5,1515.74,1465.74,50.00,0,
1979-12,1,2,0,0,24.366666666666667,1428.74,958.36,470.38,0,
1980-03,1,1,0,0,55.71666666666667,977.85,0.00,977.85,0,
1980-05,1,1,0,1,149.6,7503.03,5816.02,1687.01,0,0E-20
1980-11,1,1,0,1,142.63333333333333,4407.08,3525.66,881.42,0,0E-20
1980-12,1,2,0,0,44.0,5952.05,4761.63,1190.42,0,
1981-03,2,2,0,0,42.49166666666667,1851.74,496.28,1355.46,0,
1981-04,1,1,0,0,200.85,3105.35,2484.28,621.07,0,
1982-07,1,1,0,0,61.65,948.35,898.35,50.00,0,
1982-08,1,1,1,0,1440.0,1032.34,997.34,35.00,0,0E-20
1982-12,1,1,0,0,33.833333333333336,740.69,690.69,50.00,0,
1983-03,1,1,0,0,40.46666666666667,704.20,554.20,150.00,0,
1983-07,3,3,0,0,36.138888888888886,2187.18,0.00,2187.18,0,
1983-11,2,2,0,0,28.09166666666667,2358.94,2135.83,223.11,0,
1984-03,5,8,0,0,95.92708333333334,11357.30,5564.48,5792.82,0,
