payer_key,payer_name,organization_key,organization_name,year_month,encounter_count,total_claim_cost,total_payer_coverage,total_patient_responsibility,average_claim_cost,coverage_ratio
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1943-09,2,1999.20,1899.20,100.00,999.6000000000000000,0.94997999199679871949
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1943-09,1,1329.55,1179.55,150.00,1329.5500000000000000,0.88717987288932345530
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1947-12,1,85.55,0.00,85.55,85.5500000000000000,0E-20
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1948-01,1,85.55,0.00,85.55,85.5500000000000000,0E-20
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1950-01,1,85.55,0.00,85.55,85.5500000000000000,0E-20
38194544675647776,Medicaid,679818074188163933,ARBOUR-FULLER HOSPITAL,1951-05,1,3817.64,3767.64,50.00,3817.6400000000000000,0.98690290336438218376
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1952-08,1,3611.37,3561.37,50.00,3611.3700000000000000,0.98615483874540686775
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1953-10,1,942.01,892.01,50.00,942.0100000000000000,0.94692200719737582404
38194544675647776,Medicaid,332886644979055046,MILFORD REGIONAL MEDICAL CENTER,1960-01,1,1005.38,955.38,50.00,1005.3800000000000000,0.95026756052437884183
278663187212707114,NO_INSURANCE,93679773638781409,TUFTS MEDICAL CENTER,1960-03,2,171.10,0.00,171.10,85.5500000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,887471881291579676,WOODLAND INTERNISTS  P.C.,1960-09,1,704.20,0.00,704.20,704.2000000000000000,0E-20
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1961-06,1,3817.64,3767.64,50.00,3817.6400000000000000,0.98690290336438218376
357555573157303140,Blue Cross Blue Shield,887471881291579676,WOODLAND INTERNISTS  P.C.,1961-09,1,704.20,0.00,704.20,704.2000000000000000,0E-20
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1962-10,1,778.78,628.78,150.00,778.7800000000000000,0.80739104753588946814
357555573157303140,Blue Cross Blue Shield,441536440845856287,WELLESLEY FAMILY CARE ASSOCIATES  PC,1963-01,1,704.20,0.00,704.20,704.2000000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1963-01,1,704.20,0.00,704.20,704.2000000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1964-01,1,849.22,0.00,849.22,849.2200000000000000,0E-20
38194544675647776,Medicaid,332886644979055046,MILFORD REGIONAL MEDICAL CENTER,1964-08,1,85.55,35.55,50.00,85.5500000000000000,0.41554646405610753945
278663187212707114,NO_INSURANCE,790885867393293671,DUTTON FAMILY CARE ASSOCIATES LLP,1964-09,1,347.38,0.00,347.38,347.3800000000000000,0E-20
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1965-02,3,2192.30,0.00,2192.30,730.7666666666666667,0E-20
278663187212707114,NO_INSURANCE,537663206495302230,MELROSE FAMILY OPTICIANS LLC,1965-02,1,919.90,0.00,919.90,919.9000000000000000,0E-20
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1965-07,1,778.78,628.78,150.00,778.7800000000000000,0.80739104753588946814
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1965-07,2,2509.62,2209.62,300.00,1254.8100000000000000,0.88045998995863915653
38194544675647776,Medicaid,679818074188163933,ARBOUR-FULLER HOSPITAL,1965-08,1,92.93,42.93,50.00,92.9300000000000000,0.46196061551705584849
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1966-03,1,1108.71,0.00,1108.71,1108.7100000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1967-02,1,1075.86,0.00,1075.86,1075.8600000000000000,0E-20
38194544675647776,Medicaid,909182873596142954,SOUTHCOAST HOSPITAL GROUP  INC,1967-07,2,171.10,71.10,100.00,85.5500000000000000,0.41554646405610753945
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1967-08,1,1339.09,1189.09,150.00,1339.0900000000000000,0.88798363067456257608
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1968-08,1,849.22,699.22,150.00,849.2200000000000000,0.82336732531028473187
278663187212707114,NO_INSURANCE,50464693234281699,Lynn Community Based Outpatient Clinic (CBOC),1969-03,1,778.78,0.00,778.78,778.7800000000000000,0E-20
