task_id,state,duration,try_number
setup_synthea,skipped,,1
environment_check,success,1.70713,2
decide_generate_data,success,0.231115,2
generate_synthetic_data,skipped,0.0,1
skip_generate_data,success,0.196594,2
profile_raw_data,success,2.142186,2
validate_raw_data,success,1.585578,2
build_gold,success,1.150931,2
validate_postgres,success,1.141117,2
ensure_postgres_ready,success,0.609033,2
ingest_bronze,success,2.547258,2
load_postgres,success,1.001023,2
build_silver,success,1.236283,2
skip_dbt_snapshot,success,0.247911,2
dbt_seed,success,2.639575,2
dbt_snapshot,skipped,,1
decide_dbt_snapshot,success,0.275452,2
dbt_build,success,6.445762,2
dbt_docs,skipped,,1
decide_dbt_docs,success,0.259701,2
skip_dbt_docs,success,0.210993,2
