unique_id,name,resource_type,layer,schema,materialized,group,tags,has_description,contains_pii
model.careflow_analytics.int_claim_financials,int_claim_financials,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_encounters_enriched,int_encounters_enriched,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_monthly_healthcare_metrics,int_monthly_healthcare_metrics,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_organization_activity,int_organization_activity,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_patient_clinical_activity,int_patient_clinical_activity,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_patient_encounter_history,int_patient_encounter_history,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_provider_activity,int_provider_activity,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.int_readmission_events,int_readmission_events,model,intermediate,careflow_dbt_intermediate,table,intermediate,intermediate,True,False
model.careflow_analytics.dim_organization_reporting,dim_organization_reporting,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.dim_patient_safe,dim_patient_safe,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.dim_payer_reporting,dim_payer_reporting,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.dim_provider_reporting,dim_provider_reporting,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.fct_claim_financials,fct_claim_financials,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.fct_encounters,fct_encounters,model,marts,careflow_dbt_mart,incremental,marts,marts,True,False
model.careflow_analytics.fct_provider_activity,fct_provider_activity,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.fct_readmissions,fct_readmissions,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_executive_monthly,mart_executive_monthly,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_financial_analysis,mart_financial_analysis,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_hospital_operations,mart_hospital_operations,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_patient_population,mart_patient_population,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_provider_performance,mart_provider_performance,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.mart_readmission_analysis,mart_readmission_analysis,model,marts,careflow_dbt_mart,table,marts,marts,True,False
model.careflow_analytics.stg_careflow__claims,stg_careflow__claims,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__conditions,stg_careflow__conditions,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__dates,stg_careflow__dates,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__encounters,stg_careflow__encounters,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__imaging_studies,stg_careflow__imaging_studies,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__immunizations,stg_careflow__immunizations,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__medications,stg_careflow__medications,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__observations,stg_careflow__observations,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__organizations,stg_careflow__organizations,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__patients,stg_careflow__patients,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__payers,stg_careflow__payers,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__procedures,stg_careflow__procedures,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__providers,stg_careflow__providers,model,staging,careflow_dbt_staging,view,staging,staging,True,False
model.careflow_analytics.stg_careflow__readmissions,stg_careflow__readmissions,model,staging,careflow_dbt_staging,view,staging,staging,True,False
seed.careflow_analytics.seed_accepted_encounter_classes,seed_accepted_encounter_classes,seed,seed,careflow_dbt_seeds,seed,,,False,False
seed.careflow_analytics.seed_age_group_order,seed_age_group_order,seed,seed,careflow_dbt_seeds,seed,,,False,False
seed.careflow_analytics.seed_kpi_definitions,seed_kpi_definitions,seed,seed,careflow_dbt_seeds,seed,,,False,False
seed.careflow_analytics.seed_readmission_windows,seed_readmission_windows,seed,seed,careflow_dbt_seeds,seed,,,False,False
snapshot.careflow_analytics.snap_organization_attributes,snap_organization_attributes,snapshot,snapshot,careflow_dbt_snapshots,snapshot,,,False,False
snapshot.careflow_analytics.snap_payer_attributes,snap_payer_attributes,snapshot,snapshot,careflow_dbt_snapshots,snapshot,,,False,False
snapshot.careflow_analytics.snap_provider_attributes,snap_provider_attributes,snapshot,snapshot,careflow_dbt_snapshots,snapshot,,,False,False
