file,column,dtype,nullable,null_pct,distinct_values,sample_values,classification
allergies.csv,START,str,False,0.0,15,1960-03-23; 1960-03-23; 1960-03-23; 2014-03-23; 2014-03-23,date
allergies.csv,STOP,float64,True,100.0,0,,numeric
allergies.csv,PATIENT,str,False,0.0,15,aa616abe-1761-0c9a-7959-07544679dafd; aa616abe-1761-0c9a-7959-07544679dafd; aa616abe-1761-0c9a-7959-07544679dafd; 6fbddf55-7096-b883-7cd3-260f27953080; 6fbddf55-7096-b883-7cd3-260f27953080,categorical
allergies.csv,ENCOUNTER,str,False,0.0,15,aa616abe-1761-0c9a-54eb-7c3a65dee0bf; aa616abe-1761-0c9a-54eb-7c3a65dee0bf; aa616abe-1761-0c9a-54eb-7c3a65dee0bf; 6fbddf55-7096-b883-fb77-fb23ca9b8b24; 6fbddf55-7096-b883-fb77-fb23ca9b8b24,categorical
allergies.csv,CODE,int64,False,0.0,17,609328004; 84489001; 735029006; 609328004; 10831,categorical|numeric
allergies.csv,SYSTEM,str,False,0.0,1,Unknown; Unknown; Unknown; Unknown; Unknown,categorical
allergies.csv,DESCRIPTION,str,False,0.0,17,Allergic disposition (finding); Mold (organism); Shellfish (substance); Allergic disposition (finding); Sulfamethoxazole / Trimethoprim,categorical
allergies.csv,TYPE,str,False,0.0,1,allergy; allergy; allergy; allergy; allergy,categorical
allergies.csv,CATEGORY,str,False,0.0,3,environment; environment; food; environment; medication,categorical
allergies.csv,REACTION1,float64,True,56.962,8,21626009.0; 39579001.0; 247472004.0; 878820003.0; 300359004.0,categorical|numeric
allergies.csv,DESCRIPTION1,str,True,56.962,8,Cutaneous hypersensitivity (disorder); Anaphylaxis (disorder); Wheal (finding); Rhinoconjunctivitis (disorder); Finding of vomiting (finding),categorical
allergies.csv,SEVERITY1,str,True,56.962,3,MILD; SEVERE; MODERATE; MODERATE; MODERATE,categorical
allergies.csv,REACTION2,float64,True,72.1519,7,271807003.0; 402387002.0; 267036007.0; 56018004.0; 422587007.0,categorical|numeric
allergies.csv,DESCRIPTION2,str,True,72.1519,7,Eruption of skin (disorder); Allergic angioedema (disorder); Dyspnea (finding); Wheezing (finding); Nausea (finding),categorical
allergies.csv,SEVERITY2,str,True,72.1519,2,MODERATE; MODERATE; MILD; MILD; MODERATE,categorical
