rule_id,rule_name,category,source_file,severity,status,records_evaluated,records_failed,failure_percentage,warning_threshold_pct,fail_threshold_pct,skipped_reason
not_null:patients.csv:Id,Patient identifier is not null,completeness,patients.csv,critical,pass,58,0,0.0,0.0,1.0,
unique:patients.csv:Id,Patient identifier is unique,uniqueness,patients.csv,critical,pass,58,0,0.0,0.0,1.0,
not_null:encounters.csv:Id,Encounter identifier is not null,completeness,encounters.csv,critical,pass,3180,0,0.0,0.0,1.0,
unique:encounters.csv:Id,Encounter identifier is unique,uniqueness,encounters.csv,critical,pass,3180,0,0.0,0.0,1.0,
date_parses:encounters.csv:START,Encounter START parses as a date,format,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
date_parses:encounters.csv:STOP,Encounter STOP parses as a date when present,format,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
date_order:encounters.csv:START:STOP,Encounter STOP is not before START,temporal,encounters.csv,high,pass,3180,0,0.0,1.0,5.0,
date_parses:patients.csv:BIRTHDATE,Patient BIRTHDATE parses as a date,format,patients.csv,high,pass,58,0,0.0,0.0,1.0,
date_order:patients.csv:BIRTHDATE:DEATHDATE,Patient DEATHDATE is not before BIRTHDATE,temporal,patients.csv,critical,pass,8,0,0.0,0.0,1.0,
temporal:birthdate_before_encounter_start,Patient birth date is not after encounter start,temporal,"patients.csv,encounters.csv",high,pass,3180,0,0.0,1.0,5.0,
date_order:procedures.csv:START:STOP,Procedure STOP is not before START,temporal,procedures.csv,high,pass,7601,0,0.0,1.0,5.0,
date_order:medications.csv:START:STOP,Medication STOP is not before START,temporal,medications.csv,high,pass,1946,6,0.3083,1.0,5.0,
date_order:careplans.csv:START:STOP,Careplan STOP is not before START,temporal,careplans.csv,high,pass,94,0,0.0,1.0,5.0,
date_order:devices.csv:START:STOP,Device STOP is not before START,temporal,devices.csv,high,pass,195,0,0.0,1.0,5.0,
cost_non_negative:encounters.csv:BASE_ENCOUNTER_COST,BASE_ENCOUNTER_COST in encounters.csv is not negative,numeric,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
cost_non_negative:encounters.csv:TOTAL_CLAIM_COST,TOTAL_CLAIM_COST in encounters.csv is not negative,numeric,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
cost_non_negative:encounters.csv:PAYER_COVERAGE,PAYER_COVERAGE in encounters.csv is not negative,numeric,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
cost_non_negative:procedures.csv:BASE_COST,BASE_COST in procedures.csv is not negative,numeric,procedures.csv,high,pass,7601,0,0.0,0.0,1.0,
cost_non_negative:medications.csv:BASE_COST,BASE_COST in medications.csv is not negative,numeric,medications.csv,high,pass,2107,0,0.0,0.0,1.0,
cost_non_negative:medications.csv:TOTALCOST,TOTALCOST in medications.csv is not negative,numeric,medications.csv,high,pass,2107,0,0.0,0.0,1.0,
