check_id,dataset,category,status,records_evaluated,records_failed,details
target_columns_exist:allergies,allergies,structural,pass,15,0,All expected target columns present
foreign_key_not_null:allergies:patient_id,allergies,referential,pass,79,0,0 null value(s) in foreign key 'patient_id'
foreign_key_not_null:allergies:encounter_id,allergies,referential,pass,79,0,0 null value(s) in foreign key 'encounter_id'
date_type_utc:allergies:start,allergies,type,pass,79,0,UTC-aware timestamp
date_type_utc:allergies:stop,allergies,type,pass,79,0,UTC-aware timestamp
identifier_type:allergies:patient_id,allergies,type,pass,79,0,Text dtype preserved
identifier_type:allergies:encounter_id,allergies,type,pass,79,0,Text dtype preserved
identifier_type:allergies:code,allergies,type,pass,79,0,Text dtype preserved
row_count_reconciliation:allergies,allergies,completeness,pass,79,0,source=79 duplicates_removed=0 target=79
target_columns_exist:careplans,careplans,structural,pass,9,0,All expected target columns present
primary_key_not_null:careplans,careplans,completeness,pass,195,0,0 null primary key value(s)
primary_key_unique:careplans,careplans,uniqueness,pass,195,0,0 row(s) share a duplicate primary key
foreign_key_not_null:careplans:patient_id,careplans,referential,pass,195,0,0 null value(s) in foreign key 'patient_id'
foreign_key_not_null:careplans:encounter_id,careplans,referential,pass,195,0,0 null value(s) in foreign key 'encounter_id'
date_type_utc:careplans:start,careplans,type,pass,195,0,UTC-aware timestamp
date_type_utc:careplans:stop,careplans,type,pass,195,0,UTC-aware timestamp
identifier_type:careplans:id,careplans,type,pass,195,0,Text dtype preserved
identifier_type:careplans:patient_id,careplans,type,pass,195,0,Text dtype preserved
identifier_type:careplans:encounter_id,careplans,type,pass,195,0,Text dtype preserved
identifier_type:careplans:code,careplans,type,pass,195,0,Text dtype preserved
identifier_type:careplans:reasoncode,careplans,type,pass,195,0,Text dtype preserved
row_count_reconciliation:careplans,careplans,completeness,pass,195,0,source=195 duplicates_removed=0 target=195
target_columns_exist:claims,claims,structural,pass,31,0,All expected target columns present
primary_key_not_null:claims,claims,completeness,pass,5287,0,0 null primary key value(s)
primary_key_unique:claims,claims,uniqueness,pass,5287,0,0 row(s) share a duplicate primary key
foreign_key_not_null:claims:patient_id,claims,referential,pass,5287,0,0 null value(s) in foreign key 'patient_id'
foreign_key_not_null:claims:encounter_id,claims,referential,pass,5287,0,0 null value(s) in foreign key 'encounter_id'
date_type_utc:claims:currentillnessdate,claims,type,pass,5287,0,UTC-aware timestamp
date_type_utc:claims:servicedate,claims,type,pass,5287,0,UTC-aware timestamp
date_type_utc:claims:lastbilleddate1,claims,type,pass,5287,0,UTC-aware timestamp
date_type_utc:claims:lastbilleddate2,claims,type,pass,5287,0,UTC-aware timestamp
date_type_utc:claims:lastbilleddatep,claims,type,pass,5287,0,UTC-aware timestamp
identifier_type:claims:id,claims,type,pass,5287,0,Text dtype preserved
identifier_type:claims:patient_id,claims,type,pass,5287,0,Text dtype preserved
identifier_type:claims:encounter_id,claims,type,pass,5287,0,Text dtype preserved
row_count_reconciliation:claims,claims,completeness,pass,5287,0,source=5287 duplicates_removed=0 target=5287
