check_id,table,records_evaluated,orphan_count,status
foreign_key_orphans:fact_encounter:patient_key,fact_encounter,3180,0,pass
foreign_key_orphans:fact_encounter:provider_key,fact_encounter,3180,0,pass
foreign_key_orphans:fact_encounter:organization_key,fact_encounter,3180,0,pass
foreign_key_orphans:fact_encounter:payer_key,fact_encounter,3180,0,pass
foreign_key_orphans:fact_condition:patient_key,fact_condition,1725,0,pass
foreign_key_orphans:fact_condition:condition_key,fact_condition,1725,0,pass
foreign_key_orphans:fact_condition:encounter_key,fact_condition,1725,0,pass
foreign_key_orphans:fact_procedure:patient_key,fact_procedure,7601,0,pass
foreign_key_orphans:fact_procedure:procedure_key,fact_procedure,7601,0,pass
foreign_key_orphans:fact_procedure:encounter_key,fact_procedure,7601,0,pass
foreign_key_orphans:fact_medication:patient_key,fact_medication,2104,0,pass
foreign_key_orphans:fact_medication:payer_key,fact_medication,2104,0,pass
foreign_key_orphans:fact_medication:medication_key,fact_medication,2104,0,pass
foreign_key_orphans:fact_medication:encounter_key,fact_medication,2104,0,pass
foreign_key_orphans:fact_observation:patient_key,fact_observation,28089,0,pass
foreign_key_orphans:fact_observation:encounter_key,fact_observation,28089,0,pass
foreign_key_orphans:fact_claim:patient_key,fact_claim,5287,0,pass
foreign_key_orphans:fact_claim:provider_key,fact_claim,5287,0,pass
foreign_key_orphans:fact_claim:payer_key,fact_claim,5071,0,pass
foreign_key_orphans:fact_claim:encounter_key,fact_claim,5287,0,pass
foreign_key_orphans:fact_immunization:patient_key,fact_immunization,845,0,pass
foreign_key_orphans:fact_immunization:encounter_key,fact_immunization,845,0,pass
foreign_key_orphans:fact_imaging_study:patient_key,fact_imaging_study,258,0,pass
foreign_key_orphans:fact_imaging_study:encounter_key,fact_imaging_study,258,0,pass
